index,ITEST_id,AveCorrect,skill,problemId,attemptCount,correct,consecutiveErrorsInRow,hint,hintCount,hintTotal,frIsHelpRequest,totalFrPercentPastWrong,frPast5WrongCount,frPast8WrongCount,RES_FRUSTRATED,res_level,label
10833,283,0.309661437,properties-of-geometric-figures,104051222,1,1,0,0,0,0,1,0.33333334,1,1,0.009561398,0,0.0
10842,283,0.309661437,interpreting-linear-equations,104051078,1,0,0,0,0,0,1,1.0,1,1,0.0,0,0.0
10843,283,0.309661437,interpreting-linear-equations,104051078,2,1,0,0,0,0,0,1.0,1,1,0.0,0,0.0
10859,283,0.309661437,interpreting-linear-equations,104051082,1,0,0,0,0,0,1,0.2,1,1,0.0,0,0.0
10860,283,0.309661437,interpreting-linear-equations,104051082,2,1,0,0,0,0,0,0.2,1,1,0.0,1,0.0
10867,283,0.309661437,square-root,104051094,1,1,0,0,0,0,1,1.0,1,1,0.009561398,0,0.0
10887,283,0.309661437,square-root,104051099,1,1,0,0,0,0,1,0.16666667,0,1,0.009561398,1,0.0
10888,283,0.309661437,square-root,104051100,1,0,0,0,0,3,1,0.14285715,0,1,0.0,0,0.0
10889,283,0.309661437,square-root,104051100,2,0,0,1,1,3,0,0.14285715,0,1,0.0,0,0.0
10890,283,0.309661437,square-root,104051100,3,0,0,1,2,3,0,0.14285715,0,1,0.0,1,0.0
10891,283,0.309661437,square-root,104051100,4,0,0,1,3,3,0,0.14285715,0,1,0.0,1,0.0
10892,283,0.309661437,square-root,104051100,5,1,0,0,3,3,0,0.14285715,0,1,0.0,1,0.0
10893,283,0.309661437,square-root,104051101,1,1,0,0,0,0,1,0.125,0,1,0.009561398,0,0.0
10894,283,0.309661437,triangle-inequality,104051212,1,1,0,0,0,0,0,0.0,0,0,0.009561398,1,0.0
10896,283,0.309661437,properties-of-geometric-figures,104051429,1,0,0,0,0,0,1,0.16666667,0,1,0.0,0,0.0
10897,283,0.309661437,properties-of-geometric-figures,104051429,2,0,0,0,0,0,0,0.16666667,0,1,0.0,0,0.0
10898,283,0.309661437,properties-of-geometric-figures,104051429,3,0,0,0,0,0,0,0.16666667,0,1,0.0,1,0.0
10899,283,0.309661437,properties-of-geometric-figures,104051429,4,1,0,0,0,0,0,0.16666667,0,1,0.0,1,0.0
10906,283,0.309661437,properties-of-geometric-figures,104051119,1,1,0,0,0,0,1,0.25,1,2,0.009561398,0,0.0
10924,283,0.309661437,multiplication,104051127,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
10928,283,0.309661437,multiplication,104051131,1,1,0,0,0,0,1,0.25,1,1,0.009561398,0,0.0
10938,283,0.309661437,inducing-functions,104051248,1,1,0,0,0,0,1,0.0,0,0,0.009561398,0,0.0
10939,283,0.309661437,square-root,104051066,1,1,0,0,0,0,0,0.11111111,0,0,0.009561398,0,0.0
10940,283,0.309661437,square-root,104051166,1,1,0,0,0,0,0,0.1,0,0,0.009561398,0,0.0
10968,283,0.309661437,pattern-finding,104051191,1,0,0,1,1,1,1,1.0,1,1,0.0,-1,0.0
10969,283,0.309661437,pattern-finding,104051191,2,1,0,0,1,1,0,1.0,1,1,0.0,-1,0.0
10970,283,0.309661437,pattern-finding,104051192,1,1,0,0,0,0,1,0.5,1,1,0.009561398,0,0.0
10971,283,0.309661437,pattern-finding,104051193,1,1,0,0,0,0,1,0.33333334,1,1,0.009561398,0,0.0
10972,283,0.309661437,pattern-finding,104051194,1,0,0,0,0,2,1,0.25,1,1,0.0,0,0.0
10973,283,0.309661437,pattern-finding,104051194,2,0,0,1,1,2,0,0.25,1,1,0.0,0,0.0
10974,283,0.309661437,pattern-finding,104051194,3,0,0,1,2,2,0,0.25,1,1,0.0,1,0.0
10975,283,0.309661437,pattern-finding,104051194,4,1,0,0,2,2,0,0.25,1,1,0.0,1,0.0
10995,283,0.309661437,multiplication,104051127,1,1,0,0,0,0,0,0.2,1,1,0.009561398,0,0.0
10997,283,0.309661437,discount,104051198,1,1,0,0,0,0,1,1.0,1,1,0.586453947,0,0.0
11030,283,0.309661437,properties-of-geometric-figures,104051429,1,1,0,0,0,0,0,0.22222222,1,1,0.0,0,0.0
11039,283,0.309661437,point-plotting,104051061,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11046,283,0.309661437,reading-graph,104051074,1,0,0,0,0,0,0,0.25,2,2,0.65971998,1,0.0
11088,283,0.309661437,multiplying-decimals,104051154,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11089,283,0.309661437,multiplying-decimals,104051155,1,1,0,0,0,0,1,1.0,1,1,0.009561398,0,0.0
11091,283,0.309661437,multiplying-decimals,104051157,1,1,0,0,0,0,1,0.33333334,1,1,0.009561398,0,0.0
11116,283,0.309661437,multiplying-decimals,104051114,1,0,0,0,0,0,1,0.14285715,0,1,0.0,0,0.0
11117,283,0.309661437,multiplying-decimals,104051114,2,1,0,0,0,0,0,0.14285715,0,1,0.0,0,0.0
11121,283,0.309661437,multiplying-decimals,104051117,1,1,0,0,0,0,0,0.1,0,0,0.009561398,0,0.0
11128,283,0.309661437,supplementary-angles,104051134,1,1,0,0,0,0,1,0.5,2,2,0.009561398,0,0.0
11157,283,0.309661437,isosceles-triangle,104051125,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11158,283,0.309661437,isosceles-triangle,104051125,2,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11185,283,0.309661437,percents,104051141,1,0,0,0,0,3,1,0.0,0,0,0.0,0,0.0
11186,283,0.309661437,percents,104051141,2,0,0,1,1,3,0,0.0,0,0,0.0,0,0.0
11187,283,0.309661437,percents,104051141,3,0,0,1,2,3,0,0.0,0,0,0.0,0,0.0
11188,283,0.309661437,percents,104051141,4,0,0,1,3,3,0,0.0,0,0,0.0,1,0.0
11189,283,0.309661437,percents,104051141,5,1,0,0,3,3,0,0.0,0,0,0.0,1,0.0
11201,283,0.309661437,of-means-multiply,104051108,1,1,0,0,0,0,1,0.0,0,0,0.0,0,0.0
11202,283,0.309661437,equivalent-fractions-decimals-percents,104051109,1,0,0,0,0,0,1,0.0,0,0,0.0,0,0.0
11203,283,0.309661437,equivalent-fractions-decimals-percents,104051109,2,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11204,283,0.309661437,equivalent-fractions-decimals-percents,104051109,3,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11205,283,0.309661437,equivalent-fractions-decimals-percents,104051109,4,1,0,0,0,0,0,0.0,0,0,0.0,1,0.0
11207,283,0.309661437,equivalent-fractions-decimals-percents,104051111,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0
11208,283,0.309661437,equivalent-fractions-decimals-percents,104051111,2,0,1,0,0,0,0,0.0,0,0,0.0,0,0.0
11209,283,0.309661437,equivalent-fractions-decimals-percents,104051111,3,0,2,0,0,0,0,0.0,0,0,0.0,0,0.0
11210,283,0.309661437,equivalent-fractions-decimals-percents,104051111,4,1,0,0,0,0,0,0.0,0,0,0.0,1,0.0
11211,283,0.309661437,multiplying-decimals,104051148,1,0,0,0,0,0,0,0.09090909,0,0,0.0,0,0.0
11212,283,0.309661437,multiplying-decimals,104051149,1,1,0,0,0,0,1,0.16666667,1,1,0.009561398,0,0.0
11217,283,0.309661437,multiplying-decimals,104051151,1,1,0,0,0,0,1,0.14285715,1,1,0.0,0,0.0
11220,283,0.309661437,pythagorean-theorem,104051178,1,1,0,0,0,0,1,0.5,1,1,0.009561398,0,0.0
11221,283,0.309661437,pythagorean-theorem,104051179,1,1,0,0,0,0,0,0.33333334,1,1,0.009561398,0,0.0
11238,283,0.309661437,multiplying-decimals,104051160,1,0,0,0,0,0,0,0.125,1,1,0.0,0,0.0
11239,283,0.309661437,multiplying-decimals,104051161,1,0,0,0,0,0,1,0.1764706,1,2,0.0,0,0.0
11240,283,0.309661437,multiplying-decimals,104051161,2,0,0,0,0,0,0,0.1764706,1,2,0.0,0,0.0
11241,283,0.309661437,multiplying-decimals,104051160,2,1,0,0,0,0,0,0.125,1,2,0.009561398,1,0.0
11243,283,0.309661437,discount,104051198,1,1,0,0,0,0,0,0.2,1,1,1.0,0,0.0
11245,283,0.309661437,square-root,104051066,1,1,0,0,0,0,0,0.083333336,0,0,0.009561398,0,0.0
11246,283,0.309661437,pattern-finding,104051249,1,0,0,0,0,0,0,0.125,1,1,0.65971998,1,0.0
11247,283,0.309661437,pattern-finding,104051250,1,0,0,0,0,1,1,0.22222222,2,2,0.0,0,0.0
